previous_question,previous_answer,schema_linking,question,answer
What jobs applied the improvement with ID 1616?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 1616;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [1616]}",Which department is responsible for this job?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 1616;
Which innovation was created by 'Team X'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team X%');,"{Tables: [Jidouka, GroupDC], Columns: [Jidouka.ImprovementContent, GroupDC.GroupDCName], Foreign keys: [Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: ['Team X']}",What jobs were associated with this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.GroupDCId = (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Team X%'));
Which department worked on innovation ID 1717?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 1717;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [1717]}",What is the job associated with this department?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%Design Center C%'));
Which author created innovation ID 1818?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 1818;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [1818]}",What tools were used in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 1818;
Which jobs applied the improvement with ID 1919?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 1919;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [1919]}",Which department is responsible for this improvement?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 1919;
What is the creation date of innovation ID 2020?,SELECT DateCreate FROM Jidouka WHERE JidoukaId = 2020;,"{Tables: [Jidouka], Columns: [Jidouka.DateCreate, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [2020]}",What is the improvement content of this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 2020;
Which jobs applied the most improvements?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId ORDER BY Jidouka.TotalJobApplied DESC LIMIT 1;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.TotalJobApplied], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: []}",What is the improvement content for this job?,SELECT ImprovementContent FROM Jidouka WHERE JobId = (SELECT JobId FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId ORDER BY Jidouka.TotalJobApplied DESC LIMIT 1);
Which tool is used in the most innovations?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolId ORDER BY COUNT(JidoukaTool.JidoukaId) DESC LIMIT 1;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId], Possible cell values: []}",How many innovations used this tool?,SELECT COUNT(JidoukaTool.JidoukaId) FROM JidoukaTool WHERE ToolId = (SELECT ToolId FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolId ORDER BY COUNT(JidoukaTool.JidoukaId) DESC LIMIT 1);
What department is responsible for the innovation with ID 2121?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 2121;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [2121]}",What is the job associated with this department?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%Design Center D%'));
What is the release date of innovation ID 2222?,SELECT ReleaseDate FROM Jidouka WHERE JidoukaId = 2222;,"{Tables: [Jidouka], Columns: [Jidouka.ReleaseDate, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [2222]}",What tools were used in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 2222;
What is the description of the innovation with ID 2323?,SELECT Description FROM Jidouka WHERE JidoukaId = 2323;,"{Tables: [Jidouka], Columns: [Jidouka.Description, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [2323]}",What is the improvement content for this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 2323;
Which jobs applied improvement with ID 2424?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 2424;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [2424]}",Which department is responsible for this job?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 2424;
Who is the author of innovation with ID 2525?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 2525;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [2525]}",What tools were used in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 2525;
What is the total number of jobs applied to improvement with ID 2626?,SELECT TotalJobApplied FROM Jidouka WHERE JidoukaId = 2626;,"{Tables: [Jidouka], Columns: [Jidouka.TotalJobApplied, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [2626]}",What is the job associated with this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 2626;
What department worked on innovation ID 2727?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 2727;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [2727]}",What is the total time saved by this innovation?,SELECT TotalTimeSaved FROM Jidouka WHERE JidoukaId = 2727;
Which tool was used for innovation with ID 2828?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 2828;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId], Possible cell values: [2828]}",What is the release date for this innovation?,SELECT ReleaseDate FROM Jidouka WHERE JidoukaId = 2828;
What jobs applied the most number of innovations?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId ORDER BY Jidouka.TotalJobApplied DESC LIMIT 1;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.TotalJobApplied], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: []}",What is the improvement content for this job?,SELECT ImprovementContent FROM Jidouka WHERE JobId = (SELECT JobId FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId ORDER BY Jidouka.TotalJobApplied DESC LIMIT 1);
Which department is responsible for innovation with ID 2929?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 2929;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [2929]}",What is the improvement content of this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 2929;
Who created innovation ID 3030?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 3030;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [3030]}",What tool was used in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 3030;
Which jobs applied improvement ID 3131?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 3131;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [3131]}",Which department is responsible for this job?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 3131;
What is the total number of hours saved by innovation ID 3232?,SELECT TotalTimeSaved FROM Jidouka WHERE JidoukaId = 3232;,"{Tables: [Jidouka], Columns: [Jidouka.TotalTimeSaved, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [3232]}",What is the job associated with this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 3232;
What department worked on innovation ID 3333?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 3333;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [3333]}",Which tool was used for this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 3333;
Who worked on the innovation with ID 3434?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 3434;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [3434]}",What job was applied in this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 3434;
What is the launch date of innovation ID 3535?,SELECT ReleaseDate FROM Jidouka WHERE JidoukaId = 3535;,"{Tables: [Jidouka], Columns: [Jidouka.ReleaseDate, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [3535]}",What is the improvement content of this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 3535;
What is the total number of jobs applied for innovation ID 3636?,SELECT TotalJobApplied FROM Jidouka WHERE JidoukaId = 3636;,"{Tables: [Jidouka], Columns: [Jidouka.TotalJobApplied, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [3636]}",What department applied this innovation?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 3636;
Who authored innovation ID 3737?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 3737;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [3737]}",What tool was used in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 3737;
What department worked on improvement ID 3838?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 3838;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [3838]}",What is the release date for this innovation?,SELECT ReleaseDate FROM Jidouka WHERE JidoukaId = 3838;
What are the details of the innovation with ID 456?,"SELECT ImprovementContent, Description, Video, DetailDocument FROM Jidouka WHERE JidoukaId = 456;","{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.Description, Jidouka.Video, Jidouka.DetailDocument, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [456]}",Which tools are linked to this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 456;
List all the innovations created by the 'Design Center A'.,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center A%');,"{Tables: [Jidouka, Department], Columns: [Jidouka.ImprovementContent, Jidouka.DepartmentId, Department.DepartmentId, Department.DepartmentName], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: ['Design Center A']}",Which teams contributed to these innovations?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center A%');
What is the job type for the innovation '456'?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 456;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JobId, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [456]}",Who is the author of this innovation?,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 456;
Which innovations were created in '2022'?,SELECT ImprovementContent FROM Jidouka WHERE YEAR(DateCreate) = 2022;,"{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.DateCreate], Foreign keys: [], Possible cell values: [2022]}",How many hours were saved by these innovations?,SELECT SUM(TotalTimeSaved) FROM Jidouka WHERE YEAR(DateCreate) = 2022;
Which tools have descriptions containing 'automation'?,SELECT ToolName FROM Tool WHERE ToolDescription LIKE '%automation%';,"{Tables: [Tool], Columns: [Tool.ToolName, Tool.ToolDescription], Foreign keys: [], Possible cell values: ['automation']}",Which innovations use these tools?,SELECT DISTINCT Jidouka.ImprovementContent FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolDescription LIKE '%automation%';
What is the speed of light?,"The speed of light is approximately 299,792 kilometers per second.",,What is the chemical formula for water?,The chemical formula for water is H2O.
How far is the Moon from Earth?,"The average distance from the Moon to Earth is about 384,400 kilometers.",,What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.
What is the capital of Japan?,The capital of Japan is Tokyo.,,What is the population of Tokyo?,I am not sure about the exact population of Tokyo.
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,,When was it painted?,"It was painted between 1503 and 1506, although Leonardo may have worked on it for several years beyond that."
What is the height of Mount Everest?,"Mount Everest's height is approximately 8,848 meters.",,What is the second tallest mountain in the world?,"The second tallest mountain in the world is K2, which is approximately 8,611 meters tall."
Which jobs are linked to innovations created by 'Author X'?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Author X%');,"{Tables: [Job, Jidouka, Author], Columns: [Job.JobName, Jidouka.JobId, Jidouka.AuthorId, Author.AuthorId, Author.AuthorName], Foreign keys: [Jidouka.JobId=Job.JobId, Jidouka.AuthorId=Author.AuthorId], Possible cell values: ['Author X']}",Which departments are associated with these jobs?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId JOIN Job ON Jidouka.JobId = Job.JobId JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Author X%');
List all groups in 'Design Center B'.,SELECT GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center B%');,"{Tables: [GroupDC, Department], Columns: [GroupDC.GroupDCName, GroupDC.DepartmentId, Department.DepartmentId, Department.DepartmentName], Foreign keys: [GroupDC.DepartmentId=Department.DepartmentId], Possible cell values: ['Design Center B']}",What innovations are linked to these groups?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center B%');
Which tools have been used in innovations with 'saved hours' greater than 500?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.TotalTimeSaved > 500;,"{Tables: [Tool, JidoukaTool, Jidouka], Columns: [Tool.ToolName, Tool.ToolId, JidoukaTool.ToolId, JidoukaTool.JidoukaId, Jidouka.TotalTimeSaved], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId, JidoukaTool.JidoukaId=Jidouka.JidoukaId], Possible cell values: [500]}",Which departments created these innovations?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.TotalTimeSaved > 500;
Which innovations were launched before 2020?,SELECT ImprovementContent FROM Jidouka WHERE YEAR(DateCreate) < 2020;,"{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.DateCreate], Foreign keys: [], Possible cell values: [2020]}",What is the total number of jobs applied for these innovations?,SELECT SUM(TotalJobApplied) FROM Jidouka WHERE YEAR(DateCreate) < 2020;
Who are the authors of innovations in 'Team Alpha'?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Alpha%');,"{Tables: [Author, Jidouka, GroupDC], Columns: [Author.AuthorName, Author.AuthorId, Jidouka.AuthorId, Jidouka.GroupDCId, GroupDC.GroupDCId, GroupDC.GroupDCName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId, Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: ['Team Alpha']}",Which tools were used in these innovations?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Alpha%');
What is the boiling point of water?,The boiling point of water is 100°C (212°F) at sea level.,,What is the freezing point of water?,The freezing point of water is 0°C (32°F).
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.,,What is another famous play by Shakespeare?,'Romeo and Juliet' is another famous play by Shakespeare.
What is the chemical symbol for gold?,The chemical symbol for gold is Au.,,What is its atomic number?,The atomic number of gold is 79.
How many continents are there on Earth?,There are seven continents on Earth.,,Which is the largest continent?,Asia is the largest continent.
Who is the author of 'Pride and Prejudice'?,'Pride and Prejudice' was written by Jane Austen.,,When was it published?,It was first published in 1813.
What is the job name associated with improvement ID 3939?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 3939;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [3939]}",What tool was used in this job?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 3939;
What is the total time saved by improvement with ID 4040?,SELECT TotalTimeSaved FROM Jidouka WHERE JidoukaId = 4040;,"{Tables: [Jidouka], Columns: [Jidouka.TotalTimeSaved, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [4040]}",Which department applied this innovation?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 4040;
Who is the author of innovation with ID 4141?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 4141;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [4141]}",What is the description of this innovation?,SELECT Description FROM Jidouka WHERE JidoukaId = 4141;
What is the total number of jobs that applied improvement ID 4242?,SELECT TotalJobApplied FROM Jidouka WHERE JidoukaId = 4242;,"{Tables: [Jidouka], Columns: [Jidouka.TotalJobApplied, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [4242]}",What is the improvement content for this job?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 4242;
