previous_question,previous_answer,schema_linking,question,answer
Which department is associated with innovation ID 4343?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 4343;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [4343]}",What job is associated with this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 4343;
What tool was used for innovation with ID 4444?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 4444;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId], Possible cell values: [4444]}",What is the creation date of this innovation?,SELECT DateCreate FROM Jidouka WHERE JidoukaId = 4444;
Which department worked on improvement ID 4545?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 4545;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [4545]}",What is the total time saved by this innovation?,SELECT TotalTimeSaved FROM Jidouka WHERE JidoukaId = 4545;
What is the product name for innovation ID 4646?,SELECT ProductName FROM Jidouka WHERE JidoukaId = 4646;,"{Tables: [Jidouka], Columns: [Jidouka.ProductName, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [4646]}",What is the improvement content of this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 4646;
Who is the author of improvement ID 4747?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 4747;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [4747]}",What job is associated with this innovation?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 4747;
Which department worked on improvement with ID 4848?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 4848;,"{Tables: [Department, Jidouka], Columns: [Department.DepartmentName, Jidouka.JidoukaId], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [4848]}",What is the total number of jobs applied for this innovation?,SELECT TotalJobApplied FROM Jidouka WHERE JidoukaId = 4848;
What tool was used in innovation ID 4949?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 4949;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId], Possible cell values: [4949]}",What is the creation date of this innovation?,SELECT DateCreate FROM Jidouka WHERE JidoukaId = 4949;
What is the total time saved for innovation ID 5050?,SELECT TotalTimeSaved FROM Jidouka WHERE JidoukaId = 5050;,"{Tables: [Jidouka], Columns: [Jidouka.TotalTimeSaved, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [5050]}",What is the department associated with this innovation?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 5050;
Which jobs applied improvement ID 5151?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 5151;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [5151]}",What is the improvement content for this job?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 5151;
What is the description for innovation ID 5252?,SELECT Description FROM Jidouka WHERE JidoukaId = 5252;,"{Tables: [Jidouka], Columns: [Jidouka.Description, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [5252]}",What department worked on this innovation?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 5252;
Who authored improvement ID 5353?,SELECT AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 5353;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JidoukaId], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [5353]}",What is the product name for this innovation?,SELECT ProductName FROM Jidouka WHERE JidoukaId = 5353;
What is the total number of jobs applied for innovation ID 5454?,SELECT TotalJobApplied FROM Jidouka WHERE JidoukaId = 5454;,"{Tables: [Jidouka], Columns: [Jidouka.TotalJobApplied, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [5454]}",Which department applied this innovation?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 5454;
Which innovations use the tool 'Tool A'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool A%');,"{Tables: [Jidouka, JidoukaTool, Tool], Columns: [Jidouka.ImprovementContent, Jidouka.JidoukaId, JidoukaTool.JidoukaId, JidoukaTool.ToolId, Tool.ToolName], Foreign keys: [JidoukaTool.JidoukaId=Jidouka.JidoukaId, JidoukaTool.ToolId=Tool.ToolId], Possible cell values: ['Tool A']}",What is the total saved time by these innovations?,SELECT SUM(Jidouka.TotalTimeSaved) FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool A%');
List all innovations linked to jobs under 'Team Beta'.,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Beta%');,"{Tables: [Jidouka, GroupDC], Columns: [Jidouka.ImprovementContent, Jidouka.GroupDCId, GroupDC.GroupDCId, GroupDC.GroupDCName], Foreign keys: [Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: ['Team Beta']}",Who authored these innovations?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Beta%');
Which innovations were created using tools with descriptions containing 'machine learning'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolDescription LIKE '%machine learning%';,"{Tables: [Jidouka, JidoukaTool, Tool], Columns: [Jidouka.ImprovementContent, Jidouka.JidoukaId, JidoukaTool.JidoukaId, JidoukaTool.ToolId, Tool.ToolDescription], Foreign keys: [JidoukaTool.JidoukaId=Jidouka.JidoukaId, JidoukaTool.ToolId=Tool.ToolId], Possible cell values: ['machine learning']}",Which departments are associated with these innovations?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolDescription LIKE '%machine learning%';
Which authors have created innovations with 'total jobs applied' over 50?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.TotalJobApplied > 50;,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Author.AuthorId, Jidouka.AuthorId, Jidouka.TotalJobApplied], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [50]}",What are the names of these innovations?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Jidouka.TotalJobApplied > 50;
Which innovations were created by 'Author Y' in 'Department C'?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Author.AuthorName LIKE LOWER('%Author Y%') AND Department.DepartmentName LIKE LOWER('%Department C%');,"{Tables: [Jidouka, Author, Department], Columns: [Jidouka.ImprovementContent, Jidouka.AuthorId, Jidouka.DepartmentId, Author.AuthorId, Author.AuthorName, Department.DepartmentId, Department.DepartmentName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId, Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: ['Author Y', 'Department C']}",Which tools were used in these innovations?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN Author ON Jidouka.AuthorId = Author.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Author.AuthorName LIKE LOWER('%Author Y%') AND Department.DepartmentName LIKE LOWER('%Department C%');
What is the distance between the Earth and the Sun?,The average distance between the Earth and the Sun is about 93 million miles (150 million kilometers).,,What is the temperature of the Sun?,The Sun's core temperature is about 15 million degrees Celsius.
Who discovered gravity?,Gravity was discovered by Sir Isaac Newton.,,What is the law associated with gravity?,Newton's Law of Universal Gravitation is associated with gravity.
What is the formula for the area of a circle?,"The formula for the area of a circle is πr², where r is the radius.",,What is the circumference formula?,"The formula for the circumference is 2πr, where r is the radius."
How many hours are in a day?,There are 24 hours in a day.,,How many seconds are in an hour?,There are 3600 seconds in an hour.
What is the tallest building in the world?,The tallest building in the world is the Burj Khalifa in Dubai.,,How tall is it?,"The Burj Khalifa is approximately 828 meters (2,717 feet) tall."
Which innovations were created by 'Author Z' and saved more than 1000 hours?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Author Z%') AND Jidouka.TotalTimeSaved > 1000;,"{Tables: [Jidouka, Author], Columns: [Jidouka.ImprovementContent, Jidouka.AuthorId, Jidouka.TotalTimeSaved, Author.AuthorId, Author.AuthorName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: ['Author Z', 1000]}",Which groups are associated with these innovations?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Author Z%') AND Jidouka.TotalTimeSaved > 1000;
List all tools used in innovations created in 2021.,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE YEAR(Jidouka.DateCreate) = 2021;,"{Tables: [Tool, JidoukaTool, Jidouka], Columns: [Tool.ToolName, Tool.ToolId, JidoukaTool.ToolId, JidoukaTool.JidoukaId, Jidouka.DateCreate], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId, JidoukaTool.JidoukaId=Jidouka.JidoukaId], Possible cell values: [2021]}",What were the total hours saved by these innovations?,SELECT SUM(Jidouka.TotalTimeSaved) FROM Jidouka WHERE YEAR(DateCreate) = 2021;
Which jobs are linked to 'Tool X'?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool X%');,"{Tables: [Job, Jidouka, JidoukaTool, Tool], Columns: [Job.JobName, Job.JobId, Jidouka.JobId, Jidouka.JidoukaId, JidoukaTool.ToolId, Tool.ToolName], Foreign keys: [Jidouka.JobId=Job.JobId, JidoukaTool.JidoukaId=Jidouka.JidoukaId, JidoukaTool.ToolId=Tool.ToolId], Possible cell values: ['Tool X']}",Which authors created these jobs?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN Job ON Jidouka.JobId = Job.JobId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool X%');
Which departments contributed to innovations with 'Job A'?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE LOWER('%Job A%');,"{Tables: [Department, Jidouka, Job], Columns: [Department.DepartmentName, Department.DepartmentId, Jidouka.DepartmentId, Jidouka.JobId, Job.JobName], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId, Jidouka.JobId=Job.JobId], Possible cell values: ['Job A']}",Which groups contributed to these innovations?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE LOWER('%Job A%');
List all innovations linked to tools with descriptions containing 'AI'.,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolDescription LIKE '%AI%';,"{Tables: [Jidouka, JidoukaTool, Tool], Columns: [Jidouka.ImprovementContent, Jidouka.JidoukaId, JidoukaTool.ToolId, Tool.ToolDescription], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId, JidoukaTool.JidoukaId=Jidouka.JidoukaId], Possible cell values: ['AI']}",What are the creation dates of these innovations?,SELECT Jidouka.DateCreate FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolDescription LIKE '%AI%';
What is the speed of light?,"The speed of light is approximately 299,792 kilometers per second (186,282 miles per second).",,What is the speed of sound?,"The speed of sound is approximately 343 meters per second (1,235 km/h) in air at room temperature."
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,,Where is it displayed?,The Mona Lisa is displayed in the Louvre Museum in Paris.
What is the smallest planet in the solar system?,The smallest planet in the solar system is Mercury.,,What is the largest planet?,The largest planet in the solar system is Jupiter.
What is the capital of Japan?,The capital of Japan is Tokyo.,,What is the population of Tokyo?,"As of 2021, Tokyo's population is approximately 14 million."
Who wrote 'To Kill a Mockingbird'?,'To Kill a Mockingbird' was written by Harper Lee.,,When was it published?,It was published in 1960.
What is the total number of hours saved by innovations linked to the job 'Task A'?,SELECT SUM(TotalTimeSaved) FROM Jidouka WHERE JobName LIKE LOWER('%Task A%');,"{Tables: [Jidouka], Columns: [Jidouka.TotalTimeSaved, Jidouka.JobName], Foreign keys: [], Possible cell values: [Task A]}",What innovations were linked to this job?,SELECT ImprovementContent FROM Jidouka WHERE JobName LIKE LOWER('%Task A%');
Which tools were used in the innovations related to job 'Task B'?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.JobName LIKE LOWER('%Task B%');,"{Tables: [Tool, JidoukaTool, Jidouka], Columns: [Tool.ToolName, Jidouka.JobName], Foreign keys: [JidoukaTool.JidoukaId=Jidouka.JidoukaId, JidoukaTool.ToolId=Tool.ToolId], Possible cell values: [Task B]}",Who created the innovations linked to this job?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JobName LIKE LOWER('%Task B%');
List all employees who worked on the job 'Task C'.,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JobName LIKE LOWER('%Task C%');,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JobName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [Task C]}",Which departments were involved in this job?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Jidouka.DepartmentId = Department.DepartmentId WHERE Jidouka.JobName LIKE LOWER('%Task C%');
What is the total number of jobs that applied innovation ID 456?,SELECT TotalJobApplied FROM Jidouka WHERE JidoukaId = 456;,"{Tables: [Jidouka], Columns: [Jidouka.TotalJobApplied, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [456]}",What are the details of the innovation with ID 456?,SELECT Description FROM Jidouka WHERE JidoukaId = 456;
What improvements have been made by the department 'Design Center X'?,SELECT ImprovementContent FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE 'Design Center X';,"{Tables: [Jidouka, Department], Columns: [Jidouka.ImprovementContent, Department.DepartmentName], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [Design Center X]}",What job types were involved in these improvements?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.DepartmentId IN (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE 'Design Center X');
Which tools are associated with innovation ID 789?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 789;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId], Possible cell values: [789]}",Which authors contributed to this innovation?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 789;
Which teams are linked to the job 'Task D'?,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.JobName LIKE LOWER('%Task D%');,"{Tables: [GroupDC, Jidouka], Columns: [GroupDC.GroupDCName, Jidouka.JobName], Foreign keys: [Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: [Task D]}",Which tools were used in these innovations?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.JobName LIKE LOWER('%Task D%');
List all the improvements made by author 'John Doe'.,SELECT ImprovementContent FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');,"{Tables: [Jidouka, Author], Columns: [Jidouka.ImprovementContent, Author.AuthorName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: ['John Doe']}",What job types were linked to these innovations?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.AuthorId = (SELECT AuthorId FROM Author WHERE AuthorName LIKE LOWER('%John Doe%'));
What is the total number of hours saved by improvements in the 'Design Center Y'?,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Design Center Y%');,"{Tables: [Jidouka, Department], Columns: [Jidouka.TotalTimeSaved, Department.DepartmentName], Foreign keys: [Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: ['Design Center Y']}",What improvements contributed to these hours saved?,SELECT ImprovementContent FROM Jidouka WHERE DepartmentId IN (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%Design Center Y%'));
Which improvements were applied to the product 'Product Z'?,SELECT ImprovementContent FROM Jidouka WHERE ProductApply LIKE 'Product Z';,"{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.ProductApply], Foreign keys: [], Possible cell values: ['Product Z']}",Which jobs were associated with these improvements?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.ProductApply LIKE 'Product Z';
What job types were associated with innovation ID 101?,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.JidoukaId = 101;,"{Tables: [Job, Jidouka], Columns: [Job.JobName, Jidouka.JidoukaId], Foreign keys: [Jidouka.JobId=Job.JobId], Possible cell values: [101]}",Which departments were linked to these job types?,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId = 101;
How many employees worked on the job 'Task E'?,SELECT COUNT(DISTINCT Author.AuthorName) FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JobName LIKE LOWER('%Task E%');,"{Tables: [Author, Jidouka], Columns: [Author.AuthorName, Jidouka.JobName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: [Task E]}",What innovations did these employees contribute to?,SELECT DISTINCT ImprovementContent FROM Jidouka WHERE JobName LIKE LOWER('%Task E%');
What are the details of innovation ID 202?,SELECT Description FROM Jidouka WHERE JidoukaId = 202;,"{Tables: [Jidouka], Columns: [Jidouka.Description, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [202]}",What tools were used in this innovation?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 202;
Which innovations were released after '2022-01-01'?,SELECT ImprovementContent FROM Jidouka WHERE DateCreate > '2022-01-01';,"{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.DateCreate], Foreign keys: [], Possible cell values: ['2022-01-01']}",Which tools were used in these innovations?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DateCreate > '2022-01-01';
What improvements have been made by author 'Jane Smith'?,SELECT ImprovementContent FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Jane Smith%');,"{Tables: [Jidouka, Author], Columns: [Jidouka.ImprovementContent, Author.AuthorName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId], Possible cell values: ['Jane Smith']}",What job types were linked to these improvements?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.AuthorId = (SELECT AuthorId FROM Author WHERE AuthorName LIKE LOWER('%Jane Smith%'));
What is the total number of jobs that applied innovation ID 333?,SELECT TotalJobApplied FROM Jidouka WHERE JidoukaId = 333;,"{Tables: [Jidouka], Columns: [Jidouka.TotalJobApplied, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [333]}",What is the improvement content of this innovation?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 333;
